theta,time,x,y
0.0,1741188062.7589977,0.0,0.0
0.0,1741188062.764614,0.0,0.0
0.0,1741188062.7763011,0.0,0.0
0.0,1741188062.7853005,0.0,0.0
0.0,1741188062.7993648,0.0,0.0
0.0,1741188062.8046756,0.0,0.0
0.0,1741188062.8156693,0.0,0.0
0.0,1741188062.8266892,0.0,0.0
0.0,1741188062.8369484,0.0,0.0
0.0,1741188062.844676,0.0,0.0
0.0,1741188062.8548286,0.0,0.0
0.0,1741188062.8653738,0.0,0.0
0.0,1741188062.8753262,0.0,0.0
0.0,1741188062.888669,0.0,0.0
0.0,1741188062.9014728,0.0,0.0
0.0,1741188062.9051328,0.0,0.0
0.0,1741188062.9211643,0.0,0.0
0.0,1741188062.9350557,0.0,0.0
0.0,1741188062.9350557,0.0,0.0
0.0,1741188062.9734933,0.0,0.0
0.0,1741188062.9791367,0.0,0.0
0.0,1741188062.9791367,0.0,0.0
0.0,1741188062.9791367,0.0,0.0
0.0,1741188063.0241225,0.0,0.0
0.0,1741188063.0409737,0.0,0.0
0.0,1741188063.0440626,0.0,0.0
0.0,1741188063.060071,0.0,0.0
0.0,1741188063.0693276,0.0,0.0
0.0,1741188063.08011,0.0,0.0
0.0,1741188063.089295,0.0,0.0
0.0,1741188063.1009529,0.0,0.0
0.0,1741188063.1092658,0.0,0.0
0.0,1741188063.1194735,0.0,0.0
0.0,1741188063.1304421,0.0,0.0
0.0,1741188063.1395452,0.0,0.0
0.0,1741188063.1521444,0.0,0.0
0.0,1741188063.1593585,0.0,0.0
0.0,1741188063.1693122,0.0,0.0
0.0,1741188063.179308,0.0,0.0
0.0,1741188063.1893055,0.0,0.0
0.0,1741188063.1993933,0.0,0.0
0.0,1741188063.2092977,0.0,0.0
0.0,1741188063.2194257,0.0,0.0
0.0,1741188063.2329404,0.0,0.0
0.0,1741188063.242818,0.0,0.0
0.0,1741188063.2521737,0.0,0.0
0.0,1741188063.2596607,0.0,0.0
0.0,1741188063.2704303,0.0,0.0
0.0,1741188063.2798667,0.0,0.0
0.0,1741188063.2893298,0.0,0.0
0.0,1741188063.2993817,0.0,0.0
0.0,1741188063.309522,0.0,0.0
0.0,1741188063.3194797,0.0,0.0
0.0,1741188063.3292813,0.0,0.0
0.0,1741188063.3394375,0.0,0.0
0.0,1741188063.3493705,0.0,0.0
0.0,1741188063.3593898,0.0,0.0
0.0,1741188063.3693316,0.0,0.0
0.0,1741188063.3794785,0.0,0.0
0.0,1741188063.3902152,0.0,0.0
0.0,1741188063.3995073,0.0,0.0
0.0,1741188063.4098237,0.0,0.0
0.0,1741188063.4202209,0.0,0.0
0.0,1741188063.4292967,0.0,0.0
0.0,1741188063.439633,0.0,0.0
0.0,1741188063.449304,0.0,0.0
0.0,1741188063.449304,0.0,0.0
0.0,1741188063.4741116,0.0,0.0
0.0,1741188063.4741116,0.0,0.0
0.0,1741188063.5044174,0.0,0.0
0.0,1741188063.5142055,0.0,0.0
0.0,1741188063.5299096,0.0,0.0
0.0,1741188063.5355926,0.0,0.0
0.0,1741188063.5442793,0.0,0.0
0.0,1741188063.5547667,0.0,0.0
0.0,1741188063.5547667,0.0,0.0
0.0,1741188063.5941293,0.0,0.0
0.0,1741188063.6042519,0.0,0.0
0.0,1741188063.614319,0.0,0.0
0.0,1741188063.6241581,0.0,0.0
0.0,1741188063.6342654,0.0,0.0
0.0,1741188063.645998,0.0,0.0
0.0,1741188063.6546369,0.0,0.0
0.0,1741188063.6641781,0.0,0.0
0.0,1741188063.6766243,0.0,0.0
0.0,1741188063.6843581,0.0,0.0
0.0,1741188063.6942127,0.0,0.0
0.0,1741188063.7051418,0.0,0.0
0.0,1741188063.7141702,0.0,0.0
0.0,1741188063.724288,0.0,0.0
0.0,1741188063.7365704,0.0,0.0
0.0,1741188063.7446194,0.0,0.0
0.0,1741188063.7543335,0.0,0.0
0.0,1741188063.7665312,0.0,0.0
0.0,1741188063.7743394,0.0,0.0
0.0,1741188063.788507,0.0,0.0
0.0,1741188063.798885,0.0,0.0
0.0,1741188063.8111894,0.0,0.0
0.0,1741188063.8226974,0.0,0.0
0.0,1741188063.8259804,0.0,0.0
0.0,1741188063.84277,0.0,0.0
0.0,1741188063.8448749,0.0,0.0
0.0,1741188063.854966,0.0,0.0
0.0,1741188063.8730698,0.0,0.0
0.0,1741188063.8746374,0.0,0.0
0.0,1741188063.8903499,0.0,0.0
0.0,1741188063.8941228,0.0,0.0
0.0,1741188063.8941228,0.0,0.0
0.0,1741188063.9349709,0.0,0.0
0.0,1741188063.9349709,0.0,0.0
0.0,1741188063.9661577,0.0,0.0
0.0,1741188063.9753587,0.0,0.0
0.0,1741188063.9842618,0.0,0.0
0.0,1741188063.9946632,0.0,0.0
0.0,1741188063.9946632,0.0,0.0
0.0,1741188064.024194,0.0,0.0
0.0,1741188064.0341694,0.0,0.0
0.0,1741188064.044164,0.0,0.0
0.0,1741188064.044164,0.0,0.0
0.0,1741188064.044164,0.0,0.0
0.0,1741188064.094197,0.0,0.0
0.0,1741188064.1041589,0.0,0.0
0.0,1741188064.1142323,0.0,0.0
0.0,1741188064.1142323,0.0,0.0
0.0,1741188064.144453,0.0,0.0
0.0,1741188064.1634293,0.0,0.0
0.0,1741188064.169987,0.0,0.0
0.0,1741188064.1741865,0.0,0.0
0.0,1741188064.1867697,0.0,0.0
0.0,1741188064.196844,0.0,0.0
0.0,1741188064.2041345,0.0,0.0
0.0,1741188064.2143357,0.0,0.0
0.0,1741188064.2266717,0.0,0.0
0.0,1741188064.2346194,0.0,0.0
0.0,1741188064.2450492,0.0,0.0
0.0,1741188064.2541876,0.0,0.0
0.0,1741188064.2675438,0.0,0.0
0.0,1741188064.2744153,0.0,0.0
0.0,1741188064.2841647,0.0,0.0
0.0,1741188064.295088,0.0,0.0
0.0,1741188064.3066623,0.0,0.0
0.0,1741188064.314175,0.0,0.0
0.0,1741188064.3251836,0.0,0.0
0.0,1741188064.3360758,0.0,0.0
0.0,1741188064.3552492,0.0,0.0
0.0,1741188064.3600063,0.0,0.0
0.0,1741188064.36459,0.0,0.0
0.0,1741188064.375056,0.0,0.0
0.0,1741188064.3923028,0.0,0.0
0.0,1741188064.398905,0.0,0.0
0.0,1741188064.4062614,0.0,0.0
0.0,1741188064.4142022,0.0,0.0
0.0,1741188064.4241865,0.0,0.0
0.0,1741188064.4350042,0.0,0.0
0.0,1741188064.452394,0.0,0.0
0.0,1741188064.455081,0.0,0.0
0.0,1741188064.4646099,0.0,0.0
0.0,1741188064.4741943,0.0,0.0
0.0,1741188064.4841895,0.0,0.0
0.0,1741188064.5036347,0.0,0.0
0.0,1741188064.5053701,0.0,0.0
0.0,1741188064.514273,0.0,0.0
0.0,1741188064.5246663,0.0,0.0
0.0,1741188064.5246663,0.0,0.0
0.0,1741188064.5560544,0.0,0.0
0.0,1741188064.5662718,0.0,0.0
0.0,1741188064.5755787,0.0,0.0
0.0,1741188064.5854173,0.0,0.0
0.0,1741188064.5958905,0.0,0.0
0.0,1741188064.608899,0.0,0.0
0.0,1741188064.6186466,0.0,0.0
0.0,1741188064.6253512,0.0,0.0
0.0,1741188064.6356537,0.0,0.0
0.0,1741188064.645433,0.0,0.0
0.0,1741188064.6555493,0.0,0.0
0.0,1741188064.6654086,0.0,0.0
0.0,1741188064.6756551,0.0,0.0
0.0,1741188064.6854413,0.0,0.0
0.0,1741188064.695462,0.0,0.0
0.0,1741188064.7053878,0.0,0.0
0.0,1741188064.7238705,0.0,0.0
0.0,1741188064.7257366,0.0,0.0
0.0,1741188064.7356517,0.0,0.0
0.0,1741188064.7458365,0.0,0.0
0.0,1741188064.7458365,0.0,0.0
0.0,1741188064.7742321,0.0,0.0
0.0,1741188064.784459,0.0,0.0
0.0,1741188064.7960854,0.0,0.0
0.0,1741188064.8043222,0.0,0.0
0.0,1741188064.8143327,0.0,0.0
0.0,1741188064.8251765,0.0,0.0
0.0,1741188064.8453867,0.0,0.0
0.0,1741188064.8474953,0.0,0.0
0.0,1741188064.8548806,0.0,0.0
0.0,1741188064.8651452,0.0,0.0
0.0,1741188064.874256,0.0,0.0
0.0,1741188064.8879564,0.0,0.0
0.0,1741188064.8946552,0.0,0.0
0.0,1741188064.9045606,0.0,0.0
0.0,1741188064.9235344,0.0,0.0
0.0,1741188064.9247363,0.0,0.0
